
For Photo-ID:  65_01_20180803.jpg

Camera:  65  -->  IOP parameters[xp,yp,c]: [0 , 0 , 8.44]

Image              x           y    Object              X              Y              Z  Fixed    # of Refs
Exterior Orientation Parameters: [13.5717 , -6.68025 , 91.9903 , 1.53705 , 1.36065 , 3.51341]



For Photo-ID:  65_18_20180803.jpg

Camera:  65  -->  IOP parameters[xp,yp,c]: [0 , 0 , 8.44]

Image              x           y    Object              X              Y              Z  Fixed    # of Refs
Pt-ID                               Pt-ID 
1            3.28929     3.83569         1              0          3.778              0      1          7
2            3.29495     2.00594         2          0.945          3.778              0      1         12
3            3.27719    0.162907         3          1.892          3.778              0      1         14
4            3.24715    -1.66971         4          2.834          3.778              0      1         14
5            3.21488    -3.47598         5          3.782          3.778              0      1         13
6            1.56907     4.04527         6              0          2.832              0      1         12
7              1.574     2.12769         7          0.945          2.832              0      1         17
8            1.57946    0.184421         8          1.892          2.832              0      1         18
9            1.56974    -1.76494         9          2.834          2.832              0      1         18
10           1.55696    -3.69612        10          3.782          2.832              0      1         18
11         -0.337781      4.2673        11              0          1.891              0      1         10
12         -0.344111     2.25632        12          0.945          1.891              0      1         17
13         -0.337506    0.205766        13          1.892          1.891              0      1         18
14         -0.338136    -1.86346        14          2.834          1.891              0      1         17
15         -0.341221    -3.93558        15          3.782          1.891              0      1         17
16          -2.44592     4.48051        16              0          0.942              0      1         10
17          -2.48103     2.40225        17          0.945          0.942              0      1         16
18          -2.49638    0.246632        18          1.892          0.942              0      1         18
19          -2.50356    -1.95357        19          2.834          0.942              0      1         18
20          -2.49869    -4.15539        20          3.782          0.942              0      1         14
21          -4.70664      4.6783        21              0              0              0      0          6
22          -4.82685     2.54412        22          0.945              0              0      1         12
23          -4.89283    0.276528        23          1.892              0              0      1         17
24           -4.9179     -2.0524        24          2.834              0              0      1         16
25          -4.89173    -4.36898        25          3.782              0              0      1         10

Exterior Orientation Parameters: [12.9195 , 0.159243 , 90.2215 , 1.9813 , 1.15595 , 3.93378]



For Photo-ID:  65_09_20180803.jpg

Camera:  65  -->  IOP parameters[xp,yp,c]: [0 , 0 , 8.44]

Image              x           y    Object              X              Y              Z  Fixed    # of Refs
Pt-ID                               Pt-ID 
1            -5.3877     4.93742         1              0          3.778              0      1          7
2           -2.92187     4.84433         2          0.945          3.778              0      1         12
3           -0.49439     4.68172         3          1.892          3.778              0      1         14
4            1.79834     4.49867         4          2.834          3.778              0      1         14
5            3.93369     4.29866         5          3.782          3.778              0      1         13
6           -5.04787     2.42494         6              0          2.832              0      1         12
7           -2.77407      2.3434         7          0.945          2.832              0      1         17
8           -0.55643     2.23887         8          1.892          2.832              0      1         18
9             1.5572      2.1432         9          2.834          2.832              0      1         18
10           3.55246     2.04441        10          3.782          2.832              0      1         18
11          -4.71235     0.30738        11              0          1.891              0      1         10
12          -2.63868     0.24322        12          0.945          1.891              0      1         17
13          -0.61275     0.17794        13          1.892          1.891              0      1         18
14           1.34004     0.13305        14          2.834          1.891              0      1         17
15           3.19895     0.09228        15          3.782          1.891              0      1         17
16          -4.43154    -1.49013        16              0          0.942              0      1         10
17           -2.5313    -1.53833        17          0.945          0.942              0      1         16
18          -0.66436     -1.5756        18          1.892          0.942              0      1         18
19            1.1514    -1.59753        19          2.834          0.942              0      1         18
20           2.88537    -1.59671        20          3.782          0.942              0      1         14
21          -4.19557    -3.02777        21              0              0              0      0          6
22           -2.4407    -3.06606        22          0.945              0              0      1         12
23          -0.70131    -3.09871        23          1.892              0              0      1         17
24           0.99217    -3.09563        24          2.834              0              0      1         16
25           2.62277    -3.07743        25          3.782              0              0      1         10

Exterior Orientation Parameters: [0 , 0 , 0 , 1.6 , 3.2 , 3.5]



For Photo-ID:  65_17_20180803.jpg

Camera:  65  -->  IOP parameters[xp,yp,c]: [0 , 0 , 8.44]

Image              x           y    Object              X              Y              Z  Fixed    # of Refs
Pt-ID                               Pt-ID 
1             4.6187     4.51899         1              0          3.778              0      1          7
2             4.2446      2.1738         2          0.945          3.778              0      1         12
3            3.87103     0.06177         3          1.892          3.778              0      1         14
4            3.52376    -1.81199         4          2.834          3.778              0      1         14
5            3.21581    -3.47856         5          3.782          3.778              0      1         13
6            2.50814      4.8601         6              0          2.832              0      1         12
7            2.23171     2.34603         7          0.945          2.832              0      1         17
8            1.98129     0.09176         8          1.892          2.832              0      1         18
9            1.74438    -1.90657         9          2.834          2.832              0      1         18
10           1.53652    -3.67725        10          3.782          2.832              0      1         18
12           -0.0339     2.52952        12          0.945          1.891              0      1         17
13          -0.15259     0.12998        13          1.892          1.891              0      1         18
14          -0.26125    -1.99528        14          2.834          1.891              0      1         17
15           -0.3602    -3.89174        15          3.782          1.891              0      1         17
17          -2.56681     2.73465        17          0.945          0.942              0      1         16
18          -2.54527     0.19581        18          1.892          0.942              0      1         18
19          -2.51979    -2.06973        19          2.834          0.942              0      1         18
20          -2.49161    -4.10405        20          3.782          0.942              0      1         14
22          -5.34645     2.92688        22          0.945              0              0      1         12
23          -5.19612     0.25175        23          1.892              0              0      1         17
24          -5.03518    -2.15865        24          2.834              0              0      1         16
25          -4.85747    -4.31123        25          3.782              0              0      1         10

Exterior Orientation Parameters: [0 , 0 , 90 , 1.25 , 1.1 , 3.5]




Coordinate Space data: 
Object                X              Y              Z
Pt-ID   
5                 3.782          3.778              0
7                 0.945          2.832              0
8                 1.892          2.832              0
9                 2.834          2.832              0
10                3.782          2.832              0
12                0.945          1.891              0
13                1.892          1.891              0
14                2.834          1.891              0
15                3.782          1.891              0
17                0.945          0.942              0
18                1.892          0.942              0
19                2.834          0.942              0
20                3.782          0.942              0
21                    0              0              0
23                1.892              0              0
24                2.834              0              0
25                3.782              0              0
2                 0.945          3.778              0
3                 1.892          3.778              0
4                 2.834          3.778              0
6                     0          2.832              0
11                    0          1.891              0
16                    0          0.942              0
22                0.945              0              0
1                     0          3.778              0


The Cameras involved: 

 Camera ID:  65
 IOP Treated as Parameter w.c.accuracy(1:yes, 0:no)  :0     Treated totally as Constant (0:yes, 1:no) :   1
   xp: 0  yp:  0  c: 8.44
 Distortions Treated as Parameter w.c.accuracy(1:yes, 0:no)   :0  Treated totally as Constant (0:yes, 1:no):   1

Matrix inversion implemented using option #: 4


Fixed Parameters for Images

